0.999,0.868,0.066
0.998,0.873,0.066
0.998,0.878,0.065
0.998,0.882,0.064
0.997,0.887,0.063
0.997,0.892,0.062
0.996,0.897,0.061
0.995,0.901,0.060
0.994,0.906,0.059
0.993,0.911,0.057
0.993,0.916,0.056
0.991,0.921,0.055
0.990,0.926,0.054
0.989,0.930,0.053
0.988,0.935,0.051
0.987,0.940,0.050
0.985,0.945,0.049
0.984,0.950,0.047
0.982,0.955,0.045
0.981,0.960,0.044
0.979,0.965,0.042
0.977,0.970,0.041
0.975,0.975,0.039
